Case,Country,Prop,JR,CJEU_Ref,Nat_Doc
CJEU - Kadi,CJEU,1,2,2,1
CJEU - Bank Melli,CJEU,1,2,2,1
CJEU - Rosneft,CJEU,1,2,2,1
CJEU - PMOI,CJEU,2,3,1,0
CJEU - Gestoras,CJEU,2,3,0,0
CJEU - Jemerak,CJEU,0,0,0,1
CJEU - Gutseriev,CJEU,1,2,2,1
CJEU - SBK,CJEU,2,3,0,2
CJEU - Generalstaatsanwaltschaft,CJEU,2,3,0,0
CJEU - Alfa-Bank,CJEU,1,2,2,1
CJEU - Pumpyanskiy,CJEU,1,2,2,0
CJEU - Telekom,CJEU,2,3,2,1
CJEU - Arbuzov,CJEU,2,3,1,1
CJEU - Yanukovych,CJEU,1,2,2,0
CJEU - Rosneft (2017),CJEU,1,2,2,0
FR1 – CE 396651,France,2,3,1,0
FR2 – CE 432873,France,2,1,2,2
FR3 – CE 428178,France,2,3,0,2
FR4 – CE 434684,France,2,1,2,0
FR5 – CE 446155,France,1,1,2,0
FR6 – CAA Paris 18PA03828,France,1,1,1,0
GR1 – BVerwG 1 C 23.16,Germany,1,2,2,0
GR2 – BVerwG 1 C 31.18,Germany,2,1,2,2
GR3 – BVerwG 1 A 3.17,Germany,2,1,0,2
GR4 – BVerwG 1 C 11.19,Germany,1,2,2,0
GR5 – BVerwG 6 C 7.19,Germany,2,3,0,2
GR6 – BVerwG 3 B 31.19,Germany,2,3,2,2
NL1 – HR 2024_922,Netherlands,2,3,2,2
NL2 – RBROT 2024_9672,Netherlands,2,3,2,0
NL3 – GHAMS 2023_1058,Netherlands,2,1,2,2
NL4 – RBROT 2024_9673,Netherlands,2,1,2,2
NL5 – RBAMS 2022_5466,Netherlands,2,1,2,0
NL6 – RBAMS 2025_342,Netherlands,1,2,2,0
IT1 – TAR Puglia,Italy,1,2,2,0
IT2 – TAR Lazio,Italy,2,1,2,2
IT3 – Neves 77 Solutions,Italy,2,1,1,2
IT4 – INAUGURAZIONE ANNO GIUDIZIARIO,Italy,1,2,2,0
